sku,location_id,on_hand,inbound
SKU-GHEE,ONLINE,34,0
SKU-OLIVE-OIL,DC-EAST,160,30
SKU-OLIVE-OIL,DC-WEST,120,20
SKU-OLIVE-OIL,STORE-NY,28,0
SKU-OLIVE-OIL,STORE-SF,24,0
SKU-OLIVE-OIL,STORE-CHI,24,0
SKU-OLIVE-OIL,STORE-DAL,22,0
SKU-OLIVE-OIL,ONLINE,32,0
SKU-HONEY,DC-EAST,170,25
SKU-HONEY,DC-WEST,130,20
SKU-HONEY,STORE-NY,30,0
SKU-HONEY,STORE-SF,28,0
SKU-HONEY,STORE-CHI,26,0
SKU-HONEY,STORE-DAL,24,0
SKU-HONEY,ONLINE,36,0
SKU-DRIED-FRUIT,DC-EAST,190,30
SKU-DRIED-FRUIT,DC-WEST,150,25
SKU-DRIED-FRUIT,STORE-NY,40,0
SKU-DRIED-FRUIT,STORE-SF,34,0
SKU-DRIED-FRUIT,STORE-CHI,32,0
SKU-DRIED-FRUIT,STORE-DAL,30,0
SKU-DRIED-FRUIT,ONLINE,42,0
SKU-ORANGE-JUICE,DC-EAST,260,60
SKU-ORANGE-JUICE,DC-WEST,210,40
SKU-ORANGE-JUICE,STORE-NY,56,0
SKU-ORANGE-JUICE,STORE-SF,48,0
SKU-ORANGE-JUICE,STORE-CHI,46,0
SKU-ORANGE-JUICE,STORE-DAL,44,0
SKU-ORANGE-JUICE,ONLINE,60,0
SKU-SPARKLING,DC-EAST,320,90
SKU-SPARKLING,DC-WEST,260,60
SKU-SPARKLING,STORE-NY,74,0
SKU-SPARKLING,STORE-SF,64,0
SKU-SPARKLING,STORE-CHI,62,0
SKU-SPARKLING,STORE-DAL,60,0
SKU-SPARKLING,ONLINE,82,0
SKU-COLD-BREW,DC-EAST,220,50
SKU-COLD-BREW,DC-WEST,180,40
SKU-COLD-BREW,STORE-NY,50,0
SKU-COLD-BREW,STORE-SF,44,0
SKU-COLD-BREW,STORE-CHI,42,0
SKU-COLD-BREW,STORE-DAL,40,0
SKU-COLD-BREW,ONLINE,58,0
SKU-TRAIL-MIX,DC-EAST,240,40
SKU-TRAIL-MIX,DC-WEST,190,30
SKU-TRAIL-MIX,STORE-NY,46,0
SKU-TRAIL-MIX,STORE-SF,40,0
SKU-TRAIL-MIX,STORE-CHI,38,0
SKU-TRAIL-MIX,STORE-DAL,36,0
SKU-TRAIL-MIX,ONLINE,52,0
SKU-CHIPS,DC-EAST,260,50
SKU-CHIPS,DC-WEST,200,40
SKU-CHIPS,STORE-NY,62,0
SKU-CHIPS,STORE-SF,54,0
SKU-CHIPS,STORE-CHI,50,0
SKU-CHIPS,STORE-DAL,48,0
SKU-CHIPS,ONLINE,66,0
SKU-COOKIES,DC-EAST,230,40
SKU-COOKIES,DC-WEST,180,30
SKU-COOKIES,STORE-NY,56,0
SKU-COOKIES,STORE-SF,48,0
SKU-COOKIES,STORE-CHI,46,0
SKU-COOKIES,STORE-DAL,44,0
SKU-COOKIES,ONLINE,64,0
SKU-GRANOLA,DC-EAST,210,35
SKU-GRANOLA,DC-WEST,170,30
SKU-GRANOLA,STORE-NY,44,0
SKU-GRANOLA,STORE-SF,38,0
SKU-GRANOLA,STORE-CHI,36,0
SKU-GRANOLA,STORE-DAL,34,0
SKU-GRANOLA,ONLINE,50,0
SKU-DETERGENT,DC-EAST,210,40
SKU-DETERGENT,DC-WEST,170,30
SKU-DETERGENT,STORE-NY,44,0
SKU-DETERGENT,STORE-SF,38,0
SKU-DETERGENT,STORE-CHI,36,0
SKU-DETERGENT,STORE-DAL,34,0
SKU-DETERGENT,ONLINE,50,0
SKU-DISH-SOAP,DC-EAST,190,35
SKU-DISH-SOAP,DC-WEST,150,25
SKU-DISH-SOAP,STORE-NY,40,0
SKU-DISH-SOAP,STORE-SF,34,0
SKU-DISH-SOAP,STORE-CHI,32,0
SKU-DISH-SOAP,STORE-DAL,30,0
SKU-DISH-SOAP,ONLINE,46,0
SKU-PAPER-TOWEL,DC-EAST,260,50
SKU-PAPER-TOWEL,DC-WEST,210,40
SKU-PAPER-TOWEL,STORE-NY,48,0
SKU-PAPER-TOWEL,STORE-SF,42,0
SKU-PAPER-TOWEL,STORE-CHI,40,0
SKU-PAPER-TOWEL,STORE-DAL,38,0
SKU-PAPER-TOWEL,ONLINE,58,0
SKU-SOAP,DC-EAST,230,40
SKU-SOAP,DC-WEST,180,30
SKU-SOAP,STORE-NY,54,0
SKU-SOAP,STORE-SF,46,0
SKU-SOAP,STORE-CHI,44,0
SKU-SOAP,STORE-DAL,42,0
SKU-SOAP,ONLINE,62,0
